territory_code	cd_nom	revised_conservation_priority	revision_date
PACA	160965	2	2017-01-01
PACA	129203	2	2017-01-01
PACA	129233	2	2017-01-01
PACA	97116	2	2017-01-01
PACA	129290	2	2017-01-01
PACA	129307	2	2017-01-01
PACA	129463	2	2017-01-01
PACA	129481	2	2017-01-01
PACA	129503	2	2017-01-01
PACA	611325	2	2017-01-01
PACA	129646	2	2017-01-01
PACA	129660	2	2017-01-01
PACA	129719	2	2017-01-01
PACA	129730	2	2017-01-01
PACA	129914	2	2017-01-01
PACA	130005	2	2017-01-01
PACA	130015	2	2017-01-01
PACA	130022	2	2017-01-01
PACA	130040	2	2017-01-01
PACA	718400	2	2017-01-01
