territory_code	cd_nom	revised_conservation_priority	revision_date
73	103995	2	2019-01-01
73	104123	3	2019-01-01
73	105086	3	2019-01-01
73	105827	1	2019-01-01
73	106260	3	2019-01-01
73	106353	2	2019-01-01
73	106993	3	2019-01-01
73	107509	3	2019-01-01
73	109057	2	2019-01-01
73	109534	3	2019-01-01
73	109769	2	2019-01-01
73	110108	3	2019-01-01
73	111464	3	2019-01-01
73	111474	3	2019-01-01
73	111976	3	2019-01-01
73	112592	3	2019-01-01
73	113090	3	2019-01-01
73	114226	3	2019-01-01
73	114579	3	2019-01-01
73	115458	1	2019-01-01
73	115563	3	2019-01-01
73	115574	3	2019-01-01
73	115894	3	2019-01-01
73	115903	1	2019-01-01
73	117731	3	2019-01-01
73	119533	3	2019-01-01
73	119968	3	2019-01-01
73	119970	3	2019-01-01
73	120056	3	2019-01-01
73	120819	3	2019-01-01
73	120962	3	2019-01-01
73	121124	3	2019-01-01
73	121174	3	2019-01-01
73	121205	2	2019-01-01
73	121556	2	2019-01-01
73	123082	3	2019-01-01
73	123669	2	2019-01-01
73	123899	3	2019-01-01
73	124699	3	2019-01-01
73	125173	3	2019-01-01
73	126070	3	2019-01-01
73	126213	3	2019-01-01
73	126806	3	2019-01-01
73	127081	3	2019-01-01
73	127191	3	2019-01-01
73	127469	2	2019-01-01
73	127918	3	2019-01-01
73	127921	3	2019-01-01
73	127928	3	2019-01-01
73	127943	3	2019-01-01
